grupo,M̩trica,Mediana
Borderline,wait_avg_op,85.66
Eficientes,wait_avg_op,29.67
Ineficientes,wait_avg_op,75.38
Borderline,wait_avg_internal,25.09
Eficientes,wait_avg_internal,14.17
Ineficientes,wait_avg_internal,40.0
Borderline,conv_missed_ratio,0.09
Eficientes,conv_missed_ratio,0.07
Ineficientes,conv_missed_ratio,0.22
Borderline,conv_out_total,6.0
Eficientes,conv_out_total,16.0
Ineficientes,conv_out_total,2.0
Borderline,calls_count_total,27.0
Eficientes,calls_count_total,108.0
Ineficientes,calls_count_total,2.0
Borderline,outbound_calls_avg,6.8
Eficientes,outbound_calls_avg,9.7
Ineficientes,outbound_calls_avg,1.0
